model,image_id,delta
GPT-5.2,google_gsv_002107,0.04883735
GPT-5.2,google_gsv_002114,-0.05710402
GPT-5.2,google_gsv_002115,-0.023946315
GPT-5.2,google_gsv_002118,-0.0328269
GPT-5.2,google_gsv_002140,0.04165168
GPT-5.2,google_gsv_002155,0.14503254
GPT-5.2,google_gsv_002161,0.021101192
GPT-5.2,google_gsv_002185,0.051901087
GPT-5.2,google_gsv_002187,0.0813563
GPT-5.2,google_gsv_002210,-0.027641878
GPT-5.2,google_gsv_002227,-0.01601547
GPT-5.2,google_gsv_002234,0.050160468
GPT-5.2,google_gsv_002238,0.00585109
GPT-5.2,google_gsv_002256,-0.070387155
GPT-5.2,google_gsv_002281,0.093316406
GPT-5.2,google_gsv_002305,0.007706046
GPT-5.2,google_gsv_002328,0.030912973
GPT-5.2,google_gsv_002339,-0.030785054
GPT-5.2,google_gsv_002358,0.083798
GPT-5.2,google_gsv_002373,-0.0028018057
GPT-5.2,google_gsv_002376,0.11820093
GPT-5.2,google_gsv_002394,0.00653027
GPT-5.2,google_gsv_002422,0.012596965
GPT-5.2,google_gsv_002436,-0.010943085
GPT-5.2,google_gsv_002438,-0.08069457
GPT-5.2,google_gsv_002458,-0.048097953
GPT-5.2,google_gsv_002466,0.024164319
GPT-5.2,google_gsv_002474,0.08986041
GPT-5.2,google_gsv_002485,0.004363239
GPT-5.2,google_gsv_002503,0.06376886
GPT-5.2,google_gsv_002505,0.042156145
GPT-5.2,google_gsv_002511,0.0069131553
GPT-5.2,google_gsv_002521,-0.10449956
GPT-5.2,google_gsv_002538,0.06587337
GPT-5.2,google_gsv_002544,0.15600751
GPT-5.2,google_gsv_002545,0.04573682
GPT-5.2,google_gsv_002551,0.08425994
GPT-5.2,google_gsv_002594,0.10124849
GPT-5.2,google_gsv_002604,0.042557076
GPT-5.2,google_gsv_002611,0.08291811
GPT-5.2,google_gsv_002613,0.05383332
GPT-5.2,google_gsv_002629,0.023772627
GPT-5.2,google_gsv_002633,-0.12214443
GPT-5.2,google_gsv_002636,-0.014666334
GPT-5.2,google_gsv_002657,0.04734984
GPT-5.2,google_gsv_002658,-0.024165466
GPT-5.2,google_gsv_002665,0.14373963
GPT-5.2,google_gsv_002667,-0.074468344
GPT-5.2,google_gsv_002673,0.046013817
GPT-5.2,google_gsv_002674,0.091186434
GPT-5.2,google_gsv_002732,0.015265353
GPT-5.2,google_gsv_002734,0.05249107
GPT-5.2,google_gsv_002741,0.07230973
GPT-5.2,google_gsv_002749,-0.00516735
GPT-5.2,google_gsv_002753,-0.0325993
GPT-5.2,google_gsv_002757,0.053577304
GPT-5.2,google_gsv_002762,0.016723275
GPT-5.2,google_gsv_002778,0.030944556
GPT-5.2,google_gsv_002779,-0.018040583
GPT-5.2,google_gsv_002786,0.058726966
GPT-5.2,google_gsv_002792,0.023765758
GPT-5.2,google_gsv_002814,0.051835805
GPT-5.2,google_gsv_002819,0.010556191
GPT-5.2,google_gsv_002841,0.029230192
GPT-5.2,google_gsv_002850,-0.09076114
GPT-5.2,google_gsv_002853,-0.060642406
GPT-5.2,google_gsv_002858,-0.10316093
GPT-5.2,google_gsv_002862,-0.08182648
GPT-5.2,google_gsv_002879,0.042182326
GPT-5.2,google_gsv_002883,-0.0063616186
GPT-5.2,google_gsv_002887,0.090590134
GPT-5.2,google_gsv_002900,-0.12028168
GPT-5.2,google_gsv_002907,0.044382237
GPT-5.2,google_gsv_002937,0.050088823
GPT-5.2,google_gsv_002952,-0.0111631155
GPT-5.2,google_gsv_002954,-0.0031273812
GPT-5.2,google_gsv_002957,0.08453795
GPT-5.2,google_gsv_002976,0.04453206
GPT-5.2,google_gsv_002992,0.11778881
GPT-5.2,google_gsv_003009,0.01790066
GPT-5.2,google_gsv_003016,0.023654297
GPT-5.2,google_gsv_003023,0.045488045
GPT-5.2,google_gsv_003025,-0.024028838
GPT-5.2,google_gsv_003042,-0.010244563
GPT-5.2,google_gsv_003047,-0.07745242
GPT-5.2,google_gsv_003053,0.06579965
GPT-5.2,google_gsv_003077,0.06881441
GPT-5.2,google_gsv_003112,0.029870063
GPT-5.2,google_gsv_003158,-0.0056908876
GPT-5.2,google_gsv_003187,0.00595285
GPT-5.2,google_gsv_003201,0.010604516
GPT-5.2,google_gsv_003215,0.019294605
GPT-5.2,google_gsv_003218,0.017162293
GPT-5.2,google_gsv_003221,-0.030764043
GPT-5.2,google_gsv_003222,0.06538808
GPT-5.2,google_gsv_003226,0.040873587
GPT-5.2,google_gsv_003231,-0.015816301
GPT-5.2,google_gsv_003234,-0.04221347
GPT-5.2,google_gsv_003238,0.00016313791
GPT-5.2,google_gsv_003256,0.024734318
GPT-5.2,google_gsv_003266,0.06616261
GPT-5.2,google_gsv_003268,0.057296917
GPT-5.2,google_gsv_003289,-0.11332548
GPT-5.2,google_gsv_003303,0.061404005
GPT-5.2,google_gsv_003348,0.019316815
GPT-5.2,google_gsv_003362,0.13637978
GPT-5.2,google_gsv_003370,-0.034857318
GPT-5.2,google_gsv_003372,-0.039921984
GPT-5.2,google_gsv_003376,0.02102241
GPT-5.2,google_gsv_003378,-0.07984519
GPT-5.2,google_gsv_003400,-0.013101265
GPT-5.2,google_gsv_003411,-0.0059055686
GPT-5.2,google_gsv_003448,0.0982196
GPT-5.2,google_gsv_003449,0.05528806
GPT-5.2,google_gsv_003454,-0.032927737
GPT-5.2,google_gsv_003465,0.014087021
GPT-5.2,google_gsv_003479,0.09513075
GPT-5.2,google_gsv_003485,0.073677056
GPT-5.2,google_gsv_003496,0.019035742
GPT-5.2,google_gsv_003508,0.07491085
GPT-5.2,google_gsv_003511,0.027295485
GPT-5.2,google_gsv_003596,0.018053904
GPT-5.2,google_gsv_003603,0.020792767
GPT-5.2,google_gsv_003613,0.06336601
GPT-5.2,google_gsv_003619,0.03538406
GPT-5.2,google_gsv_003645,0.041852072
GPT-5.2,google_gsv_003652,-0.017803878
GPT-5.2,google_gsv_003657,0.020697609
GPT-5.2,google_gsv_003672,-0.02634567
GPT-5.2,google_gsv_003684,0.035279617
GPT-5.2,google_gsv_003692,-0.032405287
GPT-5.2,google_gsv_003694,0.08188462
GPT-5.2,google_gsv_003695,0.080039985
GPT-5.2,google_gsv_003714,-0.020245366
GPT-5.2,google_gsv_003718,0.027719751
GPT-5.2,google_gsv_003733,-0.021137431
GPT-5.2,google_gsv_003740,0.052025683
GPT-5.2,google_gsv_003745,0.014668062
GPT-5.2,google_gsv_003749,0.0477639
GPT-5.2,google_gsv_003757,0.03022641
GPT-5.2,google_gsv_003761,0.0150778
GPT-5.2,google_gsv_003764,0.031276017
GPT-5.2,google_gsv_003779,0.056129754
GPT-5.2,google_gsv_003791,-0.0068440735
GPT-5.2,google_gsv_003803,-0.039030507
GPT-5.2,google_gsv_003808,0.048346385
GPT-5.2,google_gsv_003823,0.15808815
GPT-5.2,google_gsv_003827,-0.019991353
GPT-5.2,google_gsv_003832,0.041045368
GPT-5.2,google_gsv_003846,0.03832625
GPT-5.2,google_gsv_003856,-0.01732321
GPT-5.2,google_gsv_003873,-0.027647585
GPT-5.2,google_gsv_003877,-0.06859498
GPT-5.2,google_gsv_003884,0.045350723
GPT-5.2,google_gsv_003886,0.0039377958
GPT-5.2,google_gsv_003900,0.004246965
GPT-5.2,google_gsv_003902,0.011115
GPT-5.2,google_gsv_003914,0.023204982
GPT-5.2,google_gsv_003931,0.09142168
GPT-5.2,google_gsv_003932,-0.053447813
GPT-5.2,google_gsv_003937,0.014711887
GPT-5.2,google_gsv_003939,0.057039782
GPT-5.2,google_gsv_003949,-0.052546516
GPT-5.2,google_gsv_003957,0.058534548
GPT-5.2,google_gsv_003959,0.029759213
GPT-5.2,google_gsv_003962,0.16090845
GPT-5.2,google_gsv_003968,0.0149021
GPT-5.2,google_gsv_003984,0.0026218295
GPT-5.2,google_gsv_003991,-0.014293686
GPT-5.2,google_gsv_004045,-0.032431394
GPT-5.2,google_gsv_004051,0.03663023
GPT-5.2,google_gsv_004069,-0.021710426
GPT-5.2,google_gsv_004102,-0.022279575
GPT-5.2,google_gsv_004111,0.035292685
GPT-5.2,google_gsv_004122,-0.049762696
GPT-5.2,google_gsv_004123,0.14019845
GPT-5.2,google_gsv_004127,0.04692291
GPT-5.2,google_gsv_004136,0.06988257
GPT-5.2,google_gsv_004140,-0.026386231
GPT-5.2,google_gsv_004144,0.01616855
GPT-5.2,google_gsv_004151,0.046439484
GPT-5.2,google_gsv_004158,-0.07367365
GPT-5.2,google_gsv_004167,0.01841648
GPT-5.2,google_gsv_004168,0.011467621
GPT-5.2,google_gsv_004173,-0.05559501
GPT-5.2,google_gsv_004175,-0.033277765
GPT-5.2,google_gsv_004205,0.014098659
GPT-5.2,google_gsv_004215,0.029423103
GPT-5.2,google_gsv_004228,0.011787713
GPT-5.2,google_gsv_004243,-0.04995829
GPT-5.2,google_gsv_004254,-0.055194512
GPT-5.2,google_gsv_004258,-0.0067109466
GPT-5.2,google_gsv_004268,-0.059008926
GPT-5.2,google_gsv_004277,0.044526637
GPT-5.2,google_gsv_004288,0.026123866
GPT-5.2,google_gsv_004328,-0.0027132481
GPT-5.2,google_gsv_004329,0.04871875
GPT-5.2,google_gsv_004335,-0.022277102
GPT-5.2,google_gsv_004356,0.07186943
GPT-5.2,google_gsv_004363,0.019619524
GPT-5.2,google_gsv_004375,0.04748912
GPT-5.2,google_gsv_004394,-0.067518994
GPT-5.2,google_gsv_004397,0.029548801
GPT-5.2,google_gsv_004399,0.036851883
GPT-5.2,google_gsv_004406,-0.0031704158
GPT-5.2,google_gsv_004410,0.0805676
GPT-5.2,google_gsv_004418,0.024641797
GPT-5.2,google_gsv_004419,0.15338968
GPT-5.2,google_gsv_004442,0.04929301
GPT-5.2,google_gsv_004443,-0.09945318
GPT-5.2,google_gsv_004449,-0.08670515
GPT-5.2,google_gsv_004454,0.040712982
GPT-5.2,google_gsv_004476,0.023681521
GPT-5.2,google_gsv_004482,0.040679842
GPT-5.2,google_gsv_004485,0.04357136
GPT-5.2,google_gsv_004494,0.052753672
GPT-5.2,google_gsv_004497,-0.06515814
GPT-5.2,google_gsv_004512,0.124510236
GPT-5.2,google_gsv_004518,-0.046289742
GPT-5.2,google_gsv_004527,-0.11832154
GPT-5.2,google_gsv_004528,-0.015368968
GPT-5.2,google_gsv_004537,0.01711376
GPT-5.2,google_gsv_004559,0.10408333
GPT-5.2,google_gsv_004563,0.011798486
GPT-5.2,google_gsv_004568,0.028920904
GPT-5.2,google_gsv_004577,0.06944212
GPT-5.2,google_gsv_004583,0.065542
GPT-5.2,google_gsv_004585,0.06599927
GPT-5.2,google_gsv_004589,0.046985343
GPT-5.2,google_gsv_004592,0.048031896
GPT-5.2,google_gsv_004594,0.045613468
GPT-5.2,google_gsv_004595,0.050026745
GPT-5.2,google_gsv_004597,-0.055285677
GPT-5.2,google_gsv_004608,0.020462722
GPT-5.2,google_gsv_004614,-0.032232612
GPT-5.2,google_gsv_004625,0.030039027
GPT-5.2,google_gsv_004638,0.031795233
GPT-5.2,google_gsv_004646,-0.009719402
GPT-5.2,google_gsv_004654,0.0852208
GPT-5.2,google_gsv_004656,-0.020365596
GPT-5.2,google_gsv_004657,-0.09672655
GPT-5.2,google_gsv_004661,0.069206685
GPT-5.2,google_gsv_004684,-0.052823678
GPT-5.2,google_gsv_004696,0.059908792
GPT-5.2,google_gsv_004699,0.057204753
GPT-5.2,google_gsv_004733,0.04994504
GPT-5.2,google_gsv_004744,-0.064067006
GPT-5.2,google_gsv_004745,0.067109406
GPT-5.2,google_gsv_004761,-0.0031774342
GPT-5.2,google_gsv_004796,0.029124632
GPT-5.2,google_gsv_004797,0.0044196546
GPT-5.2,google_gsv_004818,0.0065215155
