model_label,dimension,region,mean_sd_shift,ci_low,ci_high,p_value,sig_p05,n_images,neutral_sd
Claude Sonnet 4,safe,ENA,-0.13514404643854966,-0.15156010460313765,-0.11830433087286288,0.0003332222592469177,True,2997,15.653288752733545
Claude Sonnet 4,beautiful,SSA,0.2461309331302487,0.2286825132442624,0.2643314197563552,0.0003332222592469177,True,2999,17.67941326250032
Claude Sonnet 4,beautiful,NAWA,0.06393746079015657,0.0483774592704282,0.08015758358647947,0.0003332222592469177,True,2999,17.67941326250032
Claude Sonnet 4,beautiful,CSA,0.09251128176274866,0.07770570455912833,0.10788267720345,0.0003332222592469177,True,2999,17.67941326250032
Claude Sonnet 4,beautiful,ESEA,-0.11042885927031464,-0.12457431519734044,-0.09703547008340904,0.0003332222592469177,True,2999,17.67941326250032
Claude Sonnet 4,beautiful,OCE,0.21114450547073824,0.19322692796317228,0.22897013751477863,0.0003332222592469177,True,2999,17.67941326250032
Claude Sonnet 4,beautiful,LAC,0.036023761094159,0.020558062613944144,0.05215193842695626,0.0003332222592469177,True,2999,17.67941326250032
Claude Sonnet 4,beautiful,ENA,-0.150136260080779,-0.1622174635357392,-0.13786868383282092,0.0003332222592469177,True,2997,17.67941326250032
Claude Sonnet 4,depressing,SSA,-0.05427584184176625,-0.07682813745596417,-0.030844980442359858,0.0003332222592469177,True,2999,17.078973390322
Claude Sonnet 4,depressing,NAWA,0.10474456528096256,0.08688039431505747,0.12280397308802506,0.0003332222592469177,True,2999,17.078973390322
Claude Sonnet 4,depressing,CSA,0.08268280223017267,0.06432809870085955,0.10054697319607776,0.0003332222592469177,True,2999,17.078973390322
Claude Sonnet 4,depressing,ESEA,0.3080837353464285,0.2903171828011022,0.3263383799946485,0.0003332222592469177,True,2999,17.078973390322
Claude Sonnet 4,depressing,OCE,0.02176890778905373,0.00312378945851892,0.03944516329534481,0.023992002665778073,True,2999,17.078973390322
Claude Sonnet 4,depressing,LAC,0.1824488280616207,0.162046578160669,0.20246060428025756,0.0003332222592469177,True,2999,17.078973390322
Claude Sonnet 4,depressing,ENA,0.18686865921344198,0.1727045423363123,0.20142595243836786,0.0003332222592469177,True,2997,17.078973390322
Claude Sonnet 4,lively,SSA,0.36081441474545206,0.3372444350797537,0.3869714418367863,0.0003332222592469177,True,2999,10.32730935465081
Claude Sonnet 4,lively,NAWA,0.185976825855374,0.16966752999422888,0.20260496219487356,0.0003332222592469177,True,2999,10.32730935465081
Claude Sonnet 4,lively,CSA,0.1719317009860879,0.15546500286347667,0.18791408445803412,0.0003332222592469177,True,2999,10.32730935465081
Claude Sonnet 4,lively,ESEA,-0.05618049947714423,-0.06974130969576524,-0.042450179130790404,0.0003332222592469177,True,2999,10.32730935465081
Claude Sonnet 4,lively,OCE,0.17742060036029167,0.15998527293635034,0.19550168065178636,0.0003332222592469177,True,2999,10.32730935465081
Claude Sonnet 4,lively,LAC,0.19291866918157283,0.17370752137185969,0.21310248224803824,0.0003332222592469177,True,2999,10.32730935465081
Claude Sonnet 4,lively,ENA,-0.057994996085714096,-0.06978785044297629,-0.04652523362865086,0.0003332222592469177,True,2997,10.32730935465081
Claude Sonnet 4,boring,SSA,-0.03134110149383733,-0.06805496324376105,0.004660869522154974,0.08563812062645784,False,2999,9.309306546372424
Claude Sonnet 4,boring,NAWA,0.0983215126863811,0.07324863149131125,0.12483160724995412,0.0003332222592469177,True,2999,9.309306546372424
Claude Sonnet 4,boring,CSA,0.09473967251565683,0.0698458833291232,0.11963793900240391,0.0003332222592469177,True,2999,9.309306546372424
Claude Sonnet 4,boring,ESEA,0.3164555790834889,0.2920990659225639,0.3406330002358777,0.0003332222592469177,True,2999,9.309306546372424
Claude Sonnet 4,boring,OCE,-0.06662222717547135,-0.09115783234493258,-0.0417284379889377,0.0003332222592469177,True,2999,9.309306546372424
Claude Sonnet 4,boring,LAC,0.08059140384129598,0.05229038919236087,0.10925060250730353,0.0003332222592469177,True,2999,9.309306546372424
Claude Sonnet 4,boring,ENA,0.15143373670072993,0.13189520043588132,0.17150542724567877,0.0003332222592469177,True,2997,9.309306546372424
Gemini 2.5 Flash,wealthy,SSA,0.5112444213758771,0.49376689606457924,0.5292634282995801,0.0003332222592469177,True,3000,15.543771891496338
Gemini 2.5 Flash,wealthy,NAWA,0.13145672412055898,0.1171959212591933,0.14646809555357548,0.0003332222592469177,True,3000,15.543771891496338
Gemini 2.5 Flash,wealthy,CSA,0.27717425110248367,0.26205297498576113,0.29229284661716465,0.0003332222592469177,True,3000,15.543771891496338
Gemini 2.5 Flash,wealthy,ESEA,0.1311350518755658,0.11676702493253568,0.14636087147191112,0.0003332222592469177,True,3000,15.543771891496338
