series,name_en,geonunit,n_points,mean_gap,median_gap,eligible
Claude Sonnet 4,Solihull,England,2,,,False
Claude Sonnet 4,Somerset,England,7,0.28807088714285717,0.0012337999999999,True
Claude Sonnet 4,South Ayrshire,Scotland,3,0.6580171633333333,0.0056288499999999,True
Claude Sonnet 4,South Gloucestershire,England,2,,,False
Claude Sonnet 4,South Lanarkshire,Scotland,1,,,False
Claude Sonnet 4,South Tyneside,England,4,0.02915159499999995,0.01044211999999995,True
Claude Sonnet 4,Southampton,England,2,,,False
Claude Sonnet 4,Southend-on-Sea,England,1,,,False
Claude Sonnet 4,Southwark,England,4,0.99816025,0.9982378,True
Claude Sonnet 4,Staffordshire,England,5,0.8038124740000001,0.03298685,True
Claude Sonnet 4,Stirling,Scotland,1,,,False
Claude Sonnet 4,Stockport,England,1,,,False
Claude Sonnet 4,Stockton-on-Tees,England,3,0.65880432,0.0024066,True
Claude Sonnet 4,Stoke-on-Trent,England,1,,,False
Claude Sonnet 4,Suffolk,England,6,0.6692689116666667,0.01103288999999995,True
Claude Sonnet 4,Surrey,England,7,1.1385806585714284,1.97670866,True
Claude Sonnet 4,Swansea,Wales,2,,,False
Claude Sonnet 4,Swindon,England,4,1.0007275924999999,1.000176585,True
Claude Sonnet 4,Tameside,England,8,1.49313641125,1.988884,True
Claude Sonnet 4,Telford and Wrekin,England,3,0.6625041333333334,0.005093,True
Claude Sonnet 4,Thurrock,England,1,,,False
Claude Sonnet 4,Torbay,England,11,0.7403837763636364,0.0123151999999999,True
Claude Sonnet 4,Torfaen,Wales,5,0.01270290999999996,0.0067216999999999,True
Claude Sonnet 4,Tower Hamlets,England,1,,,False
Claude Sonnet 4,Trafford,England,2,,,False
Claude Sonnet 4,Vale of Glamorgan,Wales,1,,,False
Claude Sonnet 4,Wakefield,England,2,,,False
Claude Sonnet 4,Walsall,England,1,,,False
Claude Sonnet 4,Wandsworth,England,3,0.005020943333333266,0.0010976999999999,True
Claude Sonnet 4,Warrington,England,1,,,False
Claude Sonnet 4,Warwickshire,England,14,0.8438156885714285,0.0037375999999999495,True
Claude Sonnet 4,West Berkshire,England,3,0.6709967966666666,0.0139685499999999,True
Claude Sonnet 4,West Dunbartonshire,Scotland,3,0.003108749999999967,0.0003225999999999,True
Claude Sonnet 4,West Lothian,Scotland,2,,,False
Claude Sonnet 4,West Sussex,England,10,0.41169442799999995,0.0057666449999999,True
