run_key,model_label,condition_key,ipi,ci_low,ci_high
micro20_claude,Claude Sonnet 4,south_america,0.11415692324028291,0.10621758304245504,0.3105876450673763
micro20_claude,Claude Sonnet 4,south_eastern_asia,0.2666829662408076,-0.30032353285454344,0.39071063531713895
micro20_claude,Claude Sonnet 4,southern_africa,0.12312238006271817,0.12179129080411724,0.2779864111776343
micro20_claude,Claude Sonnet 4,southern_asia,0.10776167862062541,0.10627914087690209,0.5561828969997961
micro20_claude,Claude Sonnet 4,southern_europe,0.21226880911465676,0.11112032915977382,0.3198345899714277
micro20_claude,Claude Sonnet 4,western_africa,0.18560355993107164,0.10693582166417172,0.7135909684038445
micro20_claude,Claude Sonnet 4,western_asia,0.2044600112786708,0.1069773831323815,0.37822349473441474
micro20_claude,Claude Sonnet 4,western_europe,0.14470572681663837,-0.1960369747059441,0.2432116000504347
micro20_gemini,Gemini 2.5 Flash,australia_new_zealand,0.15652048093155316,0.15384644400671782,0.4788367368008908
micro20_gemini,Gemini 2.5 Flash,caribbean,0.10349115503123203,-1.8251173200804915,0.18910983593776473
micro20_gemini,Gemini 2.5 Flash,central_america,0.15334069860624572,0.15060776621327,0.6587685420731642
micro20_gemini,Gemini 2.5 Flash,central_asia,0.350648896109921,-0.25737293270049644,0.5275805032922528
micro20_gemini,Gemini 2.5 Flash,eastern_africa,0.2952974406509864,0.1634431804716888,0.4171014279827741
micro20_gemini,Gemini 2.5 Flash,eastern_asia,0.19015417997587583,0.10273679138352153,0.251001475036614
micro20_gemini,Gemini 2.5 Flash,eastern_europe,0.26460668402169363,0.10207990932573668,0.36937753187968847
micro20_gemini,Gemini 2.5 Flash,middle_africa,0.20308339983514062,0.13246397077308047,0.32979912127100325
micro20_gemini,Gemini 2.5 Flash,northern_africa,0.41850283125225446,0.10747331063196339,0.8518537064089137
micro20_gemini,Gemini 2.5 Flash,northern_america,0.15527252140903064,0.10588259768164637,0.24546300372485574
micro20_gemini,Gemini 2.5 Flash,northern_europe,-0.38813199217539024,-1.0116535037384087,-0.03309586329638268
micro20_gemini,Gemini 2.5 Flash,pacific_islands,0.1519737337611174,-0.08659279317079317,0.3646699007897844
micro20_gemini,Gemini 2.5 Flash,south_america,0.3735889668272131,0.18372753542837325,0.5506463100896114
micro20_gemini,Gemini 2.5 Flash,south_eastern_asia,0.0943868556168221,-1.4970848080092503,0.3911733897300767
micro20_gemini,Gemini 2.5 Flash,southern_africa,-1.072028067214525,-2.371683325422573,0.18117839181004158
micro20_gemini,Gemini 2.5 Flash,southern_asia,0.15450143435425087,-0.020920463226135107,0.27169573085928506
micro20_gemini,Gemini 2.5 Flash,southern_europe,-0.1389141451073672,-0.5638816489488325,0.3307496045498102
micro20_gemini,Gemini 2.5 Flash,western_africa,-0.8167917175277289,-2.309466519364821,0.17324486305139167
micro20_gemini,Gemini 2.5 Flash,western_asia,0.3301915239784455,0.18455494939523978,0.4575715678589888
micro20_gemini,Gemini 2.5 Flash,western_europe,0.10759037793415613,0.10577959585800623,0.3564978666344195
