dimension,meso7_key,meso7_label,mean_delta,ci_low,ci_high,p_value,sig_p05,n_images,model_label
boring,latin_america_caribbean,LAC,-0.06633333333333308,-0.40368541666666624,0.2666125000000001,0.7020993002332556,False,400,GPT-5.2
boring,europe_northern_america,ENA,-0.6902414885193981,-0.8860683887569278,-0.4883001781472684,0.0003332222592469177,True,842,GPT-5.2
depressing,sub_saharan_africa,SSA,-2.8433895921237697,-3.230465014064698,-2.4322327707454288,0.0003332222592469177,True,474,GPT-5.2
depressing,northern_africa_western_asia,NAWA,-0.9435786435786435,-1.4575505050505049,-0.40873556998556965,0.000999666777740753,True,231,GPT-5.2
depressing,central_southern_asia,CSA,-2.168572984749455,-2.596571350762527,-1.7466612200435725,0.0003332222592469177,True,306,GPT-5.2
depressing,east_southeast_asia,ESEA,0.02527040314650939,-0.41862463126843646,0.4607350049164211,0.9166944351882705,False,339,GPT-5.2
depressing,oceania,OCE,-0.6324999999999998,-1.064623611111111,-0.19099027777777738,0.005664778407197601,True,300,GPT-5.2
depressing,latin_america_caribbean,LAC,0.5340833333333334,0.1194135416666667,0.9423770833333333,0.013328890369876709,True,400,GPT-5.2
depressing,europe_northern_america,ENA,1.1228622327790974,0.8536203483768804,1.3929082541567697,0.0003332222592469177,True,842,GPT-5.2
safe,sub_saharan_africa,SSA,10.22292040694195,9.418013165769002,11.060816876122082,0.0003332222592469177,True,557,Claude Sonnet 4
safe,northern_africa_western_asia,NAWA,4.082321187584345,3.22528677462888,4.959598515519569,0.0003332222592469177,True,247,Claude Sonnet 4
safe,central_southern_asia,CSA,3.7392473118279574,3.10752688172043,4.376411290322581,0.0003332222592469177,True,310,Claude Sonnet 4
safe,east_southeast_asia,ESEA,-0.31956735496558486,-1.0227384464110125,0.36873156342182917,0.3665444851716095,False,339,Claude Sonnet 4
safe,oceania,OCE,1.725,1.1999305555555555,2.2806250000000006,0.0003332222592469177,True,300,Claude Sonnet 4
safe,latin_america_caribbean,LAC,-0.3259075907590754,-0.9406971947194717,0.24752475247524805,0.2919026991002999,False,404,Claude Sonnet 4
safe,europe_northern_america,ENA,-1.0656385923289837,-1.427515816528272,-0.7196026097271646,0.0003332222592469177,True,843,Claude Sonnet 4
lively,sub_saharan_africa,SSA,5.985936564931179,5.399423997606224,6.614340215439856,0.0003332222592469177,True,557,Claude Sonnet 4
lively,northern_africa_western_asia,NAWA,2.2233468286099862,1.767881241565452,2.719298245614035,0.0003332222592469177,True,247,Claude Sonnet 4
lively,central_southern_asia,CSA,1.1532258064516128,0.8036962365591397,1.4999999999999996,0.0003332222592469177,True,310,Claude Sonnet 4
lively,east_southeast_asia,ESEA,-1.851032448377581,-2.293510324483776,-1.4601769911504427,0.0003332222592469177,True,339,Claude Sonnet 4
lively,oceania,OCE,1.1083333333333334,0.7582638888888887,1.4806249999999999,0.0003332222592469177,True,300,Claude Sonnet 4
lively,latin_america_caribbean,LAC,2.415016501650165,1.8988964521452143,2.9777330858085804,0.0003332222592469177,True,404,Claude Sonnet 4
lively,europe_northern_america,ENA,-0.47943851324634246,-0.6810992487149071,-0.2896401739818111,0.0003332222592469177,True,843,Claude Sonnet 4
wealthy,sub_saharan_africa,SSA,5.6343506882106515,5.201937462597248,6.063771693596649,0.0003332222592469177,True,557,Claude Sonnet 4
wealthy,northern_africa_western_asia,NAWA,1.8252361673414301,1.2786774628879893,2.3717948717948714,0.0003332222592469177,True,247,Claude Sonnet 4
wealthy,central_southern_asia,CSA,1.763440860215054,1.3655241935483868,2.177486559139785,0.0003332222592469177,True,310,Claude Sonnet 4
wealthy,east_southeast_asia,ESEA,-2.8318584070796464,-3.30635447394297,-2.381944444444444,0.0003332222592469177,True,339,Claude Sonnet 4
wealthy,oceania,OCE,-0.8961111111111112,-1.4061388888888893,-0.4044166666666667,0.000999666777740753,True,300,Claude Sonnet 4
wealthy,latin_america_caribbean,LAC,0.7698019801980195,0.38031146864686444,1.1638407590759074,0.0003332222592469177,True,404,Claude Sonnet 4
