dimension,condition_key,condition_label,mean_delta,ci_low,ci_high,p_value,sig_p05,n_images,model_label
beautiful,europe_northern_america,ENA,-0.8289913159652639,-1.0050350701402806,-0.6526386105544422,0.0003332222592469177,True,2994,GPT-5.2
boring,sub_saharan_africa,SSA,-0.13457164518574677,-0.29799090219863533,0.03341546626232015,0.11996001332889036,False,2638,GPT-5.2
boring,northern_africa_western_asia,NAWA,-0.34623430962343094,-0.49686192468619245,-0.19872733612273355,0.0003332222592469177,True,2868,GPT-5.2
boring,central_southern_asia,CSA,-0.3333333333333333,-0.4780341446923597,-0.19066091954022985,0.0003332222592469177,True,2958,GPT-5.2
boring,east_southeast_asia,ESEA,0.6336467427803896,0.48451981195433175,0.7756883814640698,0.0003332222592469177,True,2978,GPT-5.2
boring,oceania,OCE,-0.26869158878504673,-0.41926735647530033,-0.11581275033377834,0.0003332222592469177,True,2996,GPT-5.2
boring,latin_america_caribbean,LAC,0.22613065326633167,0.08174204355108877,0.3732077051926298,0.004998333888703766,True,2985,GPT-5.2
boring,europe_northern_america,ENA,-0.3717434869739479,-0.5197311289245157,-0.22244488977955912,0.0003332222592469177,True,2994,GPT-5.2
depressing,sub_saharan_africa,SSA,-2.5500379075056863,-2.7543688400303257,-2.3426743745261565,0.0003332222592469177,True,2638,GPT-5.2
depressing,northern_africa_western_asia,NAWA,-0.6168061366806137,-0.816265690376569,-0.4131711994421199,0.0003332222592469177,True,2868,GPT-5.2
depressing,central_southern_asia,CSA,-1.565922920892495,-1.752915821501014,-1.3735632183908046,0.0003332222592469177,True,2958,GPT-5.2
depressing,east_southeast_asia,ESEA,0.6511081262592344,0.4576813297515111,0.8472380792478175,0.0003332222592469177,True,2978,GPT-5.2
depressing,oceania,OCE,-0.10947930574098798,-0.2977303070761015,0.0814419225634179,0.25324891702765745,False,2996,GPT-5.2
depressing,latin_america_caribbean,LAC,0.19262981574539365,-0.006733668341708531,0.39229480737018424,0.05031656114628457,False,2985,GPT-5.2
depressing,europe_northern_america,ENA,1.0751503006012024,0.8931112224448897,1.2621993987975952,0.0003332222592469177,True,2994,GPT-5.2
safe,sub_saharan_africa,SSA,6.158719573191064,5.816938979659887,6.50216738912971,0.0003332222592469177,True,2999,Claude Sonnet 4
safe,northern_africa_western_asia,NAWA,4.154718239413138,3.8829609869956654,4.443189396465489,0.0003332222592469177,True,2999,Claude Sonnet 4
safe,central_southern_asia,CSA,3.8129376458819606,3.5545181727242414,4.079693231077026,0.0003332222592469177,True,2999,Claude Sonnet 4
safe,east_southeast_asia,ESEA,0.028342780926975657,-0.25841947315771924,0.31014504834944995,0.8467177607464179,False,2999,Claude Sonnet 4
safe,oceania,OCE,3.1810603534511506,2.9142630876958986,3.4578609536512173,0.0003332222592469177,True,2999,Claude Sonnet 4
safe,latin_america_caribbean,LAC,0.9019673224408136,0.6468822940980327,1.1504251417139046,0.0003332222592469177,True,2999,Claude Sonnet 4
safe,europe_northern_america,ENA,-2.1154487821154486,-2.3740824157490823,-1.8668668668668669,0.0003332222592469177,True,2997,Claude Sonnet 4
lively,sub_saharan_africa,SSA,3.7262420806935643,3.466155385128376,3.9880376792264087,0.0003332222592469177,True,2999,Claude Sonnet 4
lively,northern_africa_western_asia,NAWA,1.9206402134044682,1.748916305435145,2.0940730243414474,0.0003332222592469177,True,2999,Claude Sonnet 4
lively,central_southern_asia,CSA,1.7755918639546515,1.6121623874624875,1.9439813271090363,0.0003332222592469177,True,2999,Claude Sonnet 4
lively,east_southeast_asia,ESEA,-0.5801933977992664,-0.7202817605868623,-0.44177225741913956,0.0003332222592469177,True,2999,Claude Sonnet 4
lively,oceania,OCE,1.832277425808603,1.6555101700566857,2.0223824608202734,0.0003332222592469177,True,2999,Claude Sonnet 4
lively,latin_america_caribbean,LAC,1.992330776925642,1.7855951983994665,2.2024008002667554,0.0003332222592469177,True,2999,Claude Sonnet 4
lively,europe_northern_america,ENA,-0.5989322655989323,-0.7190523857190524,-0.4804387721054386,0.0003332222592469177,True,2997,Claude Sonnet 4
wealthy,sub_saharan_africa,SSA,7.840946982327442,7.580860286762254,8.1027009003001,0.0003332222592469177,True,2999,Claude Sonnet 4
wealthy,northern_africa_western_asia,NAWA,3.134378126042014,2.932644214738246,3.3427809269756588,0.0003332222592469177,True,2999,Claude Sonnet 4
wealthy,central_southern_asia,CSA,4.336445481827276,4.129709903301101,4.56485495165055,0.0003332222592469177,True,2999,Claude Sonnet 4
wealthy,east_southeast_asia,ESEA,-0.07502500833611203,-0.25341780593531177,0.09836612204068022,0.4091969343552149,False,2999,Claude Sonnet 4
wealthy,oceania,OCE,2.097365788596199,1.9239746582194064,2.279093031010337,0.0003332222592469177,True,2999,Claude Sonnet 4
wealthy,latin_america_caribbean,LAC,3.2560853617872625,3.0443481160386794,3.476158719573191,0.0003332222592469177,True,2999,Claude Sonnet 4
wealthy,europe_northern_america,ENA,-1.0927594260927593,-1.2579662996329664,-0.9225892559225892,0.0003332222592469177,True,2997,Claude Sonnet 4
beautiful,sub_saharan_africa,SSA,4.3514504834944985,4.029676558852951,4.681560520173391,0.0003332222592469177,True,2999,Claude Sonnet 4
beautiful,northern_africa_western_asia,NAWA,1.130376792264088,0.8569523174391463,1.4021340446815604,0.0003332222592469177,True,2999,Claude Sonnet 4
beautiful,central_southern_asia,CSA,1.6355451817272424,1.360411803934645,1.9256835611870624,0.0003332222592469177,True,2999,Claude Sonnet 4
beautiful,east_southeast_asia,ESEA,-1.9523174391463822,-2.2074858286095362,-1.7071940646882293,0.0003332222592469177,True,2999,Claude Sonnet 4
beautiful,oceania,OCE,3.732910970323441,3.412804268089363,4.049683227742581,0.0003332222592469177,True,2999,Claude Sonnet 4
beautiful,latin_america_caribbean,LAC,0.6368789596532177,0.34178059353117707,0.9236412137379126,0.0003332222592469177,True,2999,Claude Sonnet 4
beautiful,europe_northern_america,ENA,-2.654320987654321,-2.8762095428762096,-2.4407741074407743,0.0003332222592469177,True,2997,Claude Sonnet 4
boring,sub_saharan_africa,SSA,-0.2917639213071024,-0.6318772924308103,0.048391130376792414,0.09030323225591469,False,2999,Claude Sonnet 4
boring,northern_africa_western_asia,NAWA,0.9153051017005669,0.6851867289096366,1.153759586528843,0.0003332222592469177,True,2999,Claude Sonnet 4
boring,central_southern_asia,CSA,0.8819606535511837,0.6468822940980327,1.1170390130043348,0.0003332222592469177,True,2999,Claude Sonnet 4
boring,east_southeast_asia,ESEA,2.945981993997999,2.7142380793597867,3.177725908636212,0.0003332222592469177,True,2999,Claude Sonnet 4
boring,oceania,OCE,-0.6202067355785261,-0.8486162054018006,-0.3784594864954985,0.0003332222592469177,True,2999,Claude Sonnet 4
boring,latin_america_caribbean,LAC,0.7502500833611204,0.48016005335111706,1.0253417805935312,0.0003332222592469177,True,2999,Claude Sonnet 4
boring,europe_northern_america,ENA,1.4097430764097432,1.2278945612278946,1.5949282615949283,0.0003332222592469177,True,2997,Claude Sonnet 4
depressing,sub_saharan_africa,SSA,-0.9269756585528509,-1.322107369123041,-0.541805601867289,0.0003332222592469177,True,2999,Claude Sonnet 4
depressing,northern_africa_western_asia,NAWA,1.7889296432144048,1.4738246082027342,2.1073691230410136,0.0003332222592469177,True,2999,Claude Sonnet 4
depressing,central_southern_asia,CSA,1.4121373791263754,1.113621207069023,1.7205735245081695,0.0003332222592469177,True,2999,Claude Sonnet 4
depressing,east_southeast_asia,ESEA,5.261753917972658,4.964988329443147,5.555185061687229,0.0003332222592469177,True,2999,Claude Sonnet 4
depressing,oceania,OCE,0.3717905968656219,0.05818606202067361,0.6769339779926643,0.021326224591802733,True,2999,Claude Sonnet 4
depressing,latin_america_caribbean,LAC,3.1160386795598534,2.7892214071357118,3.4511503834611537,0.0003332222592469177,True,2999,Claude Sonnet 4
depressing,europe_northern_america,ENA,3.1915248581915248,2.9445695695695697,3.4384801468134802,0.0003332222592469177,True,2997,Claude Sonnet 4
safe,sub_saharan_africa,SSA,6.785,6.515,7.066708333333334,0.0003332222592469177,True,3000,Gemini 2.5 Flash
safe,northern_africa_western_asia,NAWA,2.51,2.2666666666666666,2.75,0.0003332222592469177,True,3000,Gemini 2.5 Flash
safe,central_southern_asia,CSA,2.1166666666666667,1.875,2.36,0.0003332222592469177,True,3000,Gemini 2.5 Flash
safe,east_southeast_asia,ESEA,0.38666666666666666,0.14666666666666667,0.6250416666666668,0.002999000333222259,True,3000,Gemini 2.5 Flash
safe,oceania,OCE,2.421666666666667,2.186625,2.6566666666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
safe,latin_america_caribbean,LAC,1.01,0.7432916666666667,1.28,0.0003332222592469177,True,3000,Gemini 2.5 Flash
safe,europe_northern_america,ENA,-0.49,-0.7300416666666666,-0.255,0.0003332222592469177,True,3000,Gemini 2.5 Flash
lively,sub_saharan_africa,SSA,4.205,3.9532916666666664,4.468375000000001,0.0003332222592469177,True,3000,Gemini 2.5 Flash
lively,northern_africa_western_asia,NAWA,1.1833333333333333,0.9782916666666668,1.38,0.0003332222592469177,True,3000,Gemini 2.5 Flash
lively,central_southern_asia,CSA,2.97,2.7533333333333334,3.1966666666666668,0.0003332222592469177,True,3000,Gemini 2.5 Flash
lively,east_southeast_asia,ESEA,0.66,0.4666666666666667,0.8566666666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
lively,oceania,OCE,1.3116666666666668,1.12,1.5116666666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
lively,latin_america_caribbean,LAC,1.835,1.6083333333333334,2.058375,0.0003332222592469177,True,3000,Gemini 2.5 Flash
lively,europe_northern_america,ENA,0.06666666666666667,-0.10833333333333334,0.2467083333333335,0.4608463845384872,False,3000,Gemini 2.5 Flash
wealthy,sub_saharan_africa,SSA,7.946666666666666,7.67,8.220166666666668,0.0003332222592469177,True,3000,Gemini 2.5 Flash
wealthy,northern_africa_western_asia,NAWA,2.0433333333333334,1.81,2.2667083333333333,0.0003332222592469177,True,3000,Gemini 2.5 Flash
wealthy,central_southern_asia,CSA,4.308333333333334,4.069958333333334,4.556666666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
wealthy,east_southeast_asia,ESEA,2.0383333333333336,1.8166666666666667,2.256666666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
wealthy,oceania,OCE,3.0283333333333333,2.8,3.2667083333333333,0.0003332222592469177,True,3000,Gemini 2.5 Flash
wealthy,latin_america_caribbean,LAC,2.805,2.5732916666666665,3.0433333333333334,0.0003332222592469177,True,3000,Gemini 2.5 Flash
wealthy,europe_northern_america,ENA,1.2433333333333334,1.031625,1.4566666666666668,0.0003332222592469177,True,3000,Gemini 2.5 Flash
beautiful,sub_saharan_africa,SSA,4.02,3.6966666666666668,4.331708333333334,0.0003332222592469177,True,3000,Gemini 2.5 Flash
beautiful,northern_africa_western_asia,NAWA,0.37766666666666665,0.105,0.6320833333333337,0.0036654448517160947,True,3000,Gemini 2.5 Flash
beautiful,central_southern_asia,CSA,2.566666666666667,2.2916666666666665,2.8517083333333333,0.0003332222592469177,True,3000,Gemini 2.5 Flash
beautiful,east_southeast_asia,ESEA,-0.028333333333333332,-0.2833333333333333,0.2367083333333335,0.8470509830056647,False,3000,Gemini 2.5 Flash
beautiful,oceania,OCE,1.4026666666666667,1.12165,1.6736666666666666,0.0003332222592469177,True,3000,Gemini 2.5 Flash
beautiful,latin_america_caribbean,LAC,0.4483333333333333,0.14833333333333334,0.7433333333333333,0.0023325558147284237,True,3000,Gemini 2.5 Flash
beautiful,europe_northern_america,ENA,-3.0433333333333334,-3.3133333333333335,-2.776666666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
boring,sub_saharan_africa,SSA,-4.913333333333333,-5.276666666666666,-4.536666666666667,0.0003332222592469177,True,3000,Gemini 2.5 Flash
boring,northern_africa_western_asia,NAWA,-0.795,-1.083375,-0.5199583333333332,0.0003332222592469177,True,3000,Gemini 2.5 Flash
