model_key,model_label,color,marker,image_micro20,micro_abbr,home_meso_abbr,n_images,mu_self,mu_others,sigma_region,ipi,ipi_boot_mean,ci95_low,ci95_high,ci95_lower_delta,ci95_upper_delta,text_variant,bootstrap_reps
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Northern Europe,NEU,ENA,194,0.9532876,0.8602477886683848,0.4736740230221092,0.1964216039081213,0.195568552520923,0.0830316808515476,0.2901276267256282,0.1125368716693754,0.0945590742047051,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Southern Europe,SEU,ENA,167,0.9425932676946108,0.902864540778443,0.4038104389193931,0.0983845960557207,0.0985008207927129,-0.0322305915512618,0.2049166641947361,0.1307314123439747,0.1064158434020231,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Eastern Europe,EEU,ENA,182,0.8507098395054946,0.7874137774459707,0.5905227913159884,0.1071864845698295,0.1073911879906076,-0.0065400134982886,0.2116751349013407,0.1139312014888962,0.1042839469107331,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Central Asia,CAS,CSA,150,0.8438038004999999,0.7896922990555556,0.5881709284609727,0.0919996192025917,0.0908013889635785,-0.0705929849696628,0.2363155494316337,0.1613943739332414,0.1455141604680551,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Southern Asia,SAS,CSA,160,0.9113596435625,0.9474494438333332,0.3191442623294846,-0.113083030249105,-0.1126881744224737,-0.2943978373104781,0.055575056207537,0.1817096628880044,0.1682632306300107,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Northern Africa,NAF,NAWA,97,0.8944457745360825,0.881916413694158,0.4505723383581428,0.0278076565631631,0.0311414796677106,-0.0907926822170236,0.1493388256568081,0.1219341618847342,0.1181973459890975,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Western Asia,WAS,NAWA,150,0.9158646620666664,0.9003913168555555,0.4148519891219084,0.0372984717847501,0.0366059045023167,-0.1317365820139648,0.185530576280418,0.1683424865162816,0.1489246717781013,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Eastern Asia,EAS,ESEA,159,0.979796341761006,0.912949983784067,0.3697423562275924,0.180791723888383,0.182114401418224,0.0902658308632513,0.2482962758722862,0.0918485705549727,0.0661818744540622,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,South-eastern Asia,SEA,ESEA,180,0.974299101888889,0.9412435829907408,0.3067567828518571,0.1077580700607095,0.1104899061928587,0.0300737576938467,0.1845617058198912,0.0804161484990119,0.0740717996270325,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Eastern Africa,EAF,SSA,153,0.9825253655555556,0.9190950762854032,0.3567675694545589,0.1777916343885385,0.1759012686663155,0.0669353441953652,0.2532344359217217,0.1089659244709502,0.0773331672554062,stripped,3000
