condition_key,condition_label,condition_abbr,mean_shift_vs_neutral,sd_shift_vs_neutral,se_shift_vs_neutral,share_positive_shift,share_negative_shift,model_key,model_label,text_variant
central_southern_asia,Central and Southern Asia,CSA,-0.010532781481742859,0.7584600448608398,0.01384752251788874,0.5926666666666667,0.4073333333333333,gpt52,GPT-5.2,stripped
europe_northern_america,Europe and Northern America,ENA,-0.1470203399658203,0.8440892696380615,0.01541089111762756,0.44066666666666665,0.5593333333333333,gpt52,GPT-5.2,stripped
sub_saharan_africa,Sub-Saharan Africa,SSA,0.02135218307375908,0.4704020321369171,0.008588326803255318,0.6696666666666666,0.3303333333333333,gemini25flash,Gemini 2.5 Flash,raw
central_southern_asia,Central and Southern Asia,CSA,-0.0018316764617338777,0.49015769362449646,0.008949014184428094,0.6463333333333333,0.3536666666666667,gemini25flash,Gemini 2.5 Flash,raw
latin_america_caribbean,Latin America and the Caribbean,LAC,-0.003877176670357585,0.4879911541938782,0.008909458767165626,0.6653333333333333,0.33466666666666667,gemini25flash,Gemini 2.5 Flash,raw
europe_northern_america,Europe and Northern America,ENA,-0.014805689454078674,0.48506593704223633,0.008856051853180452,0.5496666666666666,0.4503333333333333,gemini25flash,Gemini 2.5 Flash,raw
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,-0.016989335417747498,0.49703431129455566,0.009074563471669097,0.6416666666666667,0.35833333333333334,gemini25flash,Gemini 2.5 Flash,raw
oceania,Oceania,OCE,-0.024797482416033745,0.5247243642807007,0.009580112359636593,0.626,0.374,gemini25flash,Gemini 2.5 Flash,raw
east_southeast_asia,Eastern and South-eastern Asia,ESEA,-0.02719751000404358,0.535355806350708,0.009774215047655008,0.6453333333333333,0.3546666666666667,gemini25flash,Gemini 2.5 Flash,raw
sub_saharan_africa,Sub-Saharan Africa,SSA,0.018276097252964973,0.470549613237381,0.008591021253181503,0.6626666666666666,0.3373333333333333,gemini25flash,Gemini 2.5 Flash,stripped
central_southern_asia,Central and Southern Asia,CSA,-0.004288687836378813,0.48215869069099426,0.008802973039620457,0.6406666666666667,0.35933333333333334,gemini25flash,Gemini 2.5 Flash,stripped
latin_america_caribbean,Latin America and the Caribbean,LAC,-0.006314954254776239,0.4823031425476074,0.008805610357631808,0.657,0.343,gemini25flash,Gemini 2.5 Flash,stripped
europe_northern_america,Europe and Northern America,ENA,-0.016235923394560814,0.483614981174469,0.00882956114455643,0.552,0.448,gemini25flash,Gemini 2.5 Flash,stripped
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,-0.0190252847969532,0.5023226737976074,0.009171115319508627,0.6366666666666667,0.36333333333333334,gemini25flash,Gemini 2.5 Flash,stripped
oceania,Oceania,OCE,-0.029099302366375923,0.5248086452484131,0.00958165111254274,0.6186666666666667,0.38133333333333336,gemini25flash,Gemini 2.5 Flash,stripped
east_southeast_asia,Eastern and South-eastern Asia,ESEA,-0.030420497059822083,0.5353137254714966,0.009773446759428882,0.639,0.361,gemini25flash,Gemini 2.5 Flash,stripped
central_southern_asia,Central and Southern Asia,CSA,0.026723409071564674,0.3073282837867737,0.005611021119645505,0.8383333333333334,0.16166666666666665,claude_sonnet4,Claude Sonnet 4,raw
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,0.024057960137724876,0.2982786297798157,0.005445797798404575,0.8603333333333333,0.13966666666666666,claude_sonnet4,Claude Sonnet 4,raw
europe_northern_america,Europe and Northern America,ENA,-0.011692855507135391,0.36247190833091736,0.006617801355159606,0.5476666666666666,0.452,claude_sonnet4,Claude Sonnet 4,raw
sub_saharan_africa,Sub-Saharan Africa,SSA,-0.012128941714763641,0.39718160033226013,0.007251510730932675,0.8153333333333334,0.18466666666666667,claude_sonnet4,Claude Sonnet 4,raw
east_southeast_asia,Eastern and South-eastern Asia,ESEA,-0.015011221170425415,0.37974780797958374,0.006933214686451944,0.7996666666666666,0.20033333333333334,claude_sonnet4,Claude Sonnet 4,raw
latin_america_caribbean,Latin America and the Caribbean,LAC,-0.09366045892238617,0.5445795059204102,0.00994261599158756,0.7343333333333333,0.26566666666666666,claude_sonnet4,Claude Sonnet 4,raw
